Row_ID,Name,eISSN,Journal Name,JCR_Abbrev,Name_Teshome,Name_Teresa,Name_2,Name_Robert,ABZ_order,JID
21,1432-0533_bz_results.csv,1432-0533,acta neuropathologica,ACTA NEUROPATHOL,acta neuropathologica,Acta neuropathologica,,ACTA NEUROPATHOLOGICA,1,117
127,1745-7254_bz_results.csv,1745-7254,acta pharmacologica sinica,ACTA PHARMACOL SIN,acta pharmacologica sinica,Acta pharmacologica Sinica,,ACTA PHARMACOLOGICA SINICA,2,160
128,1748-1716_bz_results.csv,1748-1716,acta physiologica,ACTA PHYSIOL,acta physiologica,"Acta physiologica (Oxford, England)",,Acta Physiologica,3,165
39,1473-0790_bz_results.csv,1473-0790,aging male,AGING MALE,aging male,The aging male : the official journal of the International Society for the Study of the Aging Male,,Aging Male,4,210
16,1365-2036_bz_results.csv,1365-2036,alimentary pharmacology & therapeutics,ALIMENT PHARM THER,alimentary pharmacology & therapeutics,Alimentary pharmacology &amp; therapeutics,,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,5,159
13,1179-187X_bz_results.csv,1179-187X,american journal of cardiovascular drugs,AM J CARDIOVASC DRUG,,"American journal of cardiovascular drugs : drugs, devices, and other interventions",,American Journal of Cardiovascular Drugs,6,30
90,1537-6605_bz_results.csv,1537-6605,american journal of human genetics,AM J HUM GENET,american journal of human genetics,American journal of human genetics,,AMERICAN JOURNAL OF HUMAN GENETICS,7,75
66,1522-1563_bz_results.csv,1522-1563,american journal of physiology-cell physiology,AM J PHYSIOL-CELL PH,american journal of physiology cell physiology,American journal of physiology. Cell physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,8,178
65,1522-1555_bz_results.csv,1522-1555,american journal of physiology-endocrinology and metabolism,AM J PHYSIOL-ENDOC M,american journal of physiology endocrinology & metabolism,American journal of physiology. Endocrinology and metabolism,,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,9,175
64,1522-1547_bz_results.csv,1522-1547,american journal of physiology-gastrointestinal and liver physiology,AM J PHYSIOL-GASTR L,american journal of physiology gastrointestinal & liver physiology,American journal of physiology. Gastrointestinal and liver physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,10,181
63,1522-1539_bz_results.csv,1522-1539,american journal of physiology-heart and circulatory physiology,AM J PHYSIOL-HEART C,american journal of physiology heart & circulatory physiology,American journal of physiology. Heart and circulatory physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,11,172
62,1522-1504_bz_results.csv,1522-1504,american journal of physiology-lung cellular and molecular physiology,AM J PHYSIOL-LUNG C,american journal of physiology lung cellular & molecular physiology,American journal of physiology. Lung cellular and molecular physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,12,163
61,1522-1490_bz_results.csv,1522-1490,american journal of physiology-regulatory integrative and comparative physiology,AM J PHYSIOL-REG I,american journal of physiology regulatory integrative & comparative physiology,"American journal of physiology. Regulatory, integrative and comparative physiology",,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,13,184
60,1522-1466_bz_results.csv,1522-1466,american journal of physiology-renal physiology,AM J PHYSIOL-RENAL,american journal of physiology renal physiology,American journal of physiology. Renal physiology,,AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,14,190
81,1531-8249_bz_results.csv,1531-8249,annals of neurology,ANN NEUROL,annals of neurology,Annals of neurology,,ANNALS OF NEUROLOGY,15,122
114,1569-8041_bz_results.csv,1569-8041,annals of oncology,ANN ONCOL,annals of oncology,Annals of oncology : official journal of the European Society for Medical Oncology,,ANNALS OF ONCOLOGY,16,126
101,1552-6259_bz_results.csv,1552-6259,annals of thoracic surgery,ANN THORAC SURG,annals of thoracic surgery,The Annals of thoracic surgery,,ANNALS OF THORACIC SURGERY,17,26
108,1557-7716_bz_results.csv,1557-7716,antioxidants & redox signaling,ANTIOXID REDOX SIGN,antioxidants & redox signaling,Antioxidants &amp; redox signaling,,ANTIOXIDANTS & REDOX SIGNALING,18,49
126,1744-4160_bz_results.csv,1744-4160,archives of physiology and biochemistry,ARCH PHYSIOL BIOCHEM,archives of physiology & biochemistry,Archives of physiology and biochemistry,,ARCHIVES OF PHYSIOLOGY AND BIOCHEMISTRY,19,170
197,2326-5205_bz_results.csv,2326-5205,arthritis & rheumatology,ARTHRITIS RHEUMATOL,arthritis & rheumatology,Arthritis research &amp; therapy,,Arthritis Research & Therapy,20,206
53,1478-6362_bz_results.csv,1478-6362,arthritis research & therapy,ARTHRITIS RES THER,,"Arthritis &amp; rheumatology (Hoboken, N.J.)",,Arthritis & Rheumatology,21,202
152,1879-1484_bz_results.csv,1879-1484,atherosclerosis,ATHEROSCLEROSIS,atherosclerosis,Atherosclerosis,,ATHEROSCLEROSIS,22,33
25,1435-1803_bz_results.csv,1435-1803,basic research in cardiology,BASIC RES CARDIOL,basic research in cardiology,Basic research in cardiology,,BASIC RESEARCH IN CARDIOLOGY,23,5
140,1872-8081_bz_results.csv,1872-8081,biofactors,BIOFACTORS,biofactors,"BioFactors (Oxford, England)",,BIOFACTORS,24,57
174,2044-5385_bz_results.csv,2044-5385,blood cancer journal,BLOOD CANCER J,blood cancer journal,Blood cancer journal,,Blood Cancer Journal,25,136
178,2049-4394_bz_results.csv,2049-4394,bone & joint journal,BONE JOINT J,bone & joint journal,The bone &amp; joint journal,,Bone & Joint Journal,26,155
175,2046-3758_bz_results.csv,2046-3758,bone & joint research,BONE JOINT RES,bone & joint research,Bone &amp; joint research,,Bone & Joint Research,27,154
44,1476-5365_bz_results.csv,1476-5365,bone marrow transplantation,BONE MARROW TRANSPL,bone marrow transplantation,Bone marrow transplantation,,BONE MARROW TRANSPLANTATION,28,112
31,1460-2156_bz_results.csv,1460-2156,brain,BRAIN,brain,Brain : a journal of neurology,,BRAIN,29,34
83,1532-1827_bz_results.csv,1532-1827,british journal of cancer,BRIT J CANCER,british journal of cancer,British journal of cancer,,BRITISH JOURNAL OF CANCER,30,142
45,1476-5381_bz_results.csv,1476-5381,british journal of pharmacology,BRIT J PHARMACOL,british journal of pharmacology,British journal of pharmacology,,BRITISH JOURNAL OF PHARMACOLOGY,31,157
156,1916-7075_bz_results.csv,1916-7075,canadian journal of cardiology,CAN J CARDIOL,canadian journal of cardiology,The Canadian journal of cardiology,,CANADIAN JOURNAL OF CARDIOLOGY,32,29
8,1097-0142_bz_results.csv,1097-0142,cancer,CANCER-AM CANCER SOC,cancer,Cancer,,CANCER,33,151
148,1878-3686_bz_results.csv,1878-3686,cancer cell,CANCER CELL,cancer cell,Cancer cell,,CANCER CELL,34,125
208,2523-3548_bz_results.csv,2523-3548,cancer communications,CANCER COMMUN,cancer communications,"Cancer communications (London, England)",,Cancer Communications,35,137
188,2159-8290_bz_results.csv,2159-8290,cancer discovery,CANCER DISCOV,cancer discovery,Cancer discovery,,Cancer Discovery,36,124
48,1476-5500_bz_results.csv,1476-5500,cancer gene therapy,CANCER GENE THER,cancer gene therapy,Cancer gene therapy,,CANCER GENE THERAPY,37,85
22,1432-0851_bz_results.csv,1432-0851,cancer immunology immunotherapy,CANCER IMMUNOL IMMUN,cancer immunology immunotherapy,"Cancer immunology, immunotherapy : CII",,CANCER IMMUNOLOGY IMMUNOTHERAPY,38,150
198,2326-6074_bz_results.csv,2326-6074,cancer immunology research,CANCER IMMUNOL RES,cancer immunology research,Cancer immunology research,,Cancer Immunology Research,39,100
91,1538-7445_bz_results.csv,1538-7445,cancer research,CANCER RES,cancer research,Cancer research,,CANCER RESEARCH,40,127
14,1349-7006_bz_results.csv,1349-7006,cancer science,CANCER SCI,cancer science,Cancer science,,CANCER SCIENCE,41,152
42,1475-2840_bz_results.csv,1475-2840,cardiovascular diabetology,CARDIOVASC DIABETOL,cardiovascular diabetology,Cardiovascular diabetology,,Cardiovascular Diabetology,42,45
158,1932-7420_bz_results.csv,1932-7420,cell metabolism,CELL METAB,cell metabolism,Cell metabolism,,Cell Metabolism,43,41
172,2042-0226_bz_results.csv,2042-0226,cellular & molecular immunology,CELL MOL IMMUNOL,cellular & molecular immunology,Cellular &amp; molecular immunology,,Cellular & Molecular Immunology,44,97
116,1573-6849_bz_results.csv,1573-6849,chromosome research,CHROMOSOME RES,chromosome research,"Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology",,CHROMOSOME RESEARCH,45,92
76,1525-6073_bz_results.csv,1525-6073,chronobiology international,CHRONOBIOL INT,chronobiology international,Chronobiology international,,CHRONOBIOLOGY INTERNATIONAL,46,197
72,1524-4539_bz_results.csv,1524-4539,circulation,CIRCULATION,circulation,Circulation,,CIRCULATION,47,1
73,1524-4571_bz_results.csv,1524-4571,circulation research,CIRC RES,circulation research,Circulation research,,CIRCULATION RESEARCH,48,4
163,1941-3084_bz_results.csv,1941-3084,circulation-arrhythmia and electrophysiology,CIRC-ARRHYTHMIA ELEC,circulation arrhythmia & electrophysiology,Circulation. Arrhythmia and electrophysiology,,Circulation-Arrhythmia and Electrophysiology,49,10
166,1942-0080_bz_results.csv,1942-0080,circulation-cardiovascular imaging,CIRC-CARDIOVASC IMAG,circulation cardiovascular imaging,Circulation. Cardiovascular imaging,,Circulation-Cardiovascular Imaging,50,7
164,1941-7632_bz_results.csv,1941-7632,circulation-cardiovascular interventions,CIRC-CARDIOVASC INTE,circulation cardiovascular interventions,Circulation. Cardiovascular interventions,,Circulation-Cardiovascular Interventions,51,13
165,1941-7713_bz_results.csv,1941-7713,circulation-cardiovascular quality and outcomes,CIRC-CARDIOVASC QUAL,circulation cardiovascular quality & outcomes,Circulation. Cardiovascular quality and outcomes,,Circulation-Cardiovascular Quality and Outcomes,52,25
209,2574-8300_bz_results.csv,2574-8300,circulation-genomic and precision medicine,CIRC-GENOM PRECIS ME,circulation genomic & precision medicine,Circulation. Genomic and precision medicine,,Circulation-Genomic and Precision Medicine,53,82
179,2050-0068_bz_results.csv,2050-0068,clinical & translational immunology,CLIN TRANSL IMMUNOL,clinical & translational immunology,Clinical &amp; translational immunology,,Clinical & Translational Immunology,54,109
28,1440-1681_bz_results.csv,1440-1681,clinical and experimental pharmacology and physiology,CLIN EXP PHARMACOL P,clinical & experimental pharmacology & physiology,Clinical and experimental pharmacology &amp; physiology,,CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,55,200
170,2001-1326_bz_results.csv,2001-1326,clinical and translational medicine,CLIN TRANSL MED,clinical & translational medicine,Clinical and translational medicine,,Clinical and Translational Medicine,56,135
106,1557-3265_bz_results.csv,1557-3265,clinical cancer research,CLIN CANCER RES,clinical cancer research,Clinical cancer research : an official journal of the American Association for Cancer Research,,CLINICAL CANCER RESEARCH,57,130
138,1868-7083_bz_results.csv,1868-7083,clinical epigenetics,CLIN EPIGENETICS,clinical epigenetics,Clinical epigenetics,,Clinical Epigenetics,58,81
89,1537-6591_bz_results.csv,1537-6591,clinical infectious diseases,CLIN INFECT DIS,clinical infectious diseases,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,CLINICAL INFECTIOUS DISEASES,59,101
41,1475-097X_bz_results.csv,1475-097X,clinical physiology and functional imaging,CLIN PHYSIOL FUNCT I,clinical physiology & functional imaging,Clinical physiology and functional imaging,,CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,60,201
136,1861-0692_bz_results.csv,1861-0692,clinical research in cardiology,CLIN RES CARDIOL,clinical research in cardiology,Clinical research in cardiology : official journal of the German Cardiac Society,,Clinical Research in Cardiology,61,24
80,1531-4332_bz_results.csv,1531-4332,comparative biochemistry and physiology a-molecular & integrative physiology,COMP BIOCHEM PHYS A,comparative biochemistry & physiology a molecular & integrative physiology,"Comparative biochemistry and physiology. Part A, Molecular &amp; integrative physiology",,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,62,188
181,2051-1434_bz_results.csv,2051-1434,conservation physiology,CONSERV PHYSIOL,conservation physiology,Conservation physiology,,Conservation Physiology,63,194
162,1939-327X_bz_results.csv,1939-327X,diabetes,DIABETES,diabetes,Diabetes,,DIABETES,64,46
193,2233-6087_bz_results.csv,2233-6087,diabetes & metabolism journal,DIABETES METAB J,diabetes & metabolism journal,Diabetes &amp; metabolism journal,,Diabetes & Metabolism Journal,65,63
161,1935-5548_bz_results.csv,1935-5548,diabetes care,DIABETES CARE,diabetes care,Diabetes care,,DIABETES CARE,66,42
33,1463-1326_bz_results.csv,1463-1326,diabetes obesity & metabolism,DIABETES OBES METAB,diabetes obesity & metabolism,"Diabetes, obesity &amp; metabolism",,DIABETES OBESITY & METABOLISM,67,48
141,1872-8227_bz_results.csv,1872-8227,diabetes research and clinical practice,DIABETES RES CLIN PR,diabetes research & clinical practice,Diabetes research and clinical practice,,DIABETES RESEARCH AND CLINICAL PRACTICE,68,65
110,1557-8593_bz_results.csv,1557-8593,diabetes technology & therapeutics,DIABETES TECHNOL THE,diabetes technology & therapeutics,Diabetes technology &amp; therapeutics,,Diabetes Technology & Therapeutics,69,56
59,1520-7560_bz_results.csv,1520-7560,diabetes-metabolism research and reviews,DIABETES-METAB RES,diabetes metabolism research & reviews,Diabetes/metabolism research and reviews,,DIABETES-METABOLISM RESEARCH AND REVIEWS,70,62
20,1432-0428_bz_results.csv,1432-0428,diabetologia,DIABETOLOGIA,diabetologia,Diabetologia,,DIABETOLOGIA,71,43
167,1945-7170_bz_results.csv,1945-7170,endocrinology,ENDOCRINOLOGY,endocrinology,Endocrinology,,ENDOCRINOLOGY,72,60
168,1969-6213_bz_results.csv,1969-6213,eurointervention,EUROINTERVENTION,eurointervention,EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,,EuroIntervention,73,15
84,1532-2092_bz_results.csv,1532-2092,europace,EUROPACE,europace,"Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal of the working groups on cardiac pacing, arrhythmias, and cardiac cellular electrophysiology of the European Society of Cardiology",,EUROPACE,74,11
27,1439-6327_bz_results.csv,1439-6327,european journal of applied physiology,EUR J APPL PHYSIOL,european journal of applied physiology,European journal of applied physiology,,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,75,186
151,1879-0852_bz_results.csv,1879-0852,european journal of cancer,EUR J CANCER,european journal of cancer,"European journal of cancer (Oxford, England : 1990)",,EUROPEAN JOURNAL OF CANCER,76,143
142,1873-1953_bz_results.csv,1873-1953,european journal of cardiovascular nursing,EUR J CARDIOVASC NUR,european journal of cardiovascular nursing,European journal of cardiovascular nursing,,European Journal of Cardiovascular Nursing,77,23
56,1479-683X_bz_results.csv,1479-683X,european journal of endocrinology,EUR J ENDOCRINOL,european journal of endocrinology,European journal of endocrinology,,EUROPEAN JOURNAL OF ENDOCRINOLOGY,78,53
150,1879-0844_bz_results.csv,1879-0844,european journal of heart failure,EUR J HEART FAIL,european journal of heart failure,European journal of heart failure,,EUROPEAN JOURNAL OF HEART FAILURE,79,3
176,2047-4881_bz_results.csv,2047-4881,european journal of preventive cardiology,EUR J PREV CARDIOL,european journal of preventive cardiology,European journal of preventive cardiology,,European Journal of Preventive Cardiology,80,6
146,1873-7560_bz_results.csv,1873-7560,european urology,EUR UROL,european urology,European urology,,EUROPEAN UROLOGY,81,209
210,2588-9311_bz_results.csv,2588-9311,european urology oncology,EUR UROL ONCOL,european urology oncology,European urology oncology,,European Urology Oncology,82,212
36,1469-445X_bz_results.csv,1469-445X,experimental physiology,EXP PHYSIOL,experimental physiology,Experimental physiology,,EXPERIMENTAL PHYSIOLOGY,83,196
143,1873-4596_bz_results.csv,1873-4596,free radical biology and medicine,FREE RADICAL BIO MED,free radical biology & medicine,Free radical biology &amp; medicine,,FREE RADICAL BIOLOGY AND MEDICINE,84,51
195,2297-055X_bz_results.csv,2297-055X,frontiers in cardiovascular medicine,FRONT CARDIOVASC MED,frontiers in cardiovascular medicine,Frontiers in cardiovascular medicine,,Frontiers in Cardiovascular Medicine,85,14
121,1664-2392_bz_results.csv,1664-2392,frontiers in endocrinology,FRONT ENDOCRINOL,frontiers in endocrinology,Frontiers in endocrinology,,Frontiers in Endocrinology,86,59
122,1664-3224_bz_results.csv,1664-3224,frontiers in immunology,FRONT IMMUNOL,frontiers in immunology,Frontiers in immunology,,Frontiers in Immunology,87,108
120,1664-042X_bz_results.csv,1664-042X,frontiers in physiology,FRONT PHYSIOL,frontiers in physiology,Frontiers in physiology,,Frontiers in Physiology,88,167
26,1436-3305_bz_results.csv,1436-3305,gastric cancer,GASTRIC CANCER,gastric cancer,Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,,Gastric Cancer,89,146
46,1476-5462_bz_results.csv,1476-5462,gene therapy,GENE THER,gene therapy,Gene therapy,,GENE THERAPY,90,91
92,1540-7748_bz_results.csv,1540-7748,general physiology,J GEN PHYSIOL,general physiology,The Journal of general physiology,,General Physiology,91,169
98,1549-5477_bz_results.csv,1549-5477,genes & development,GENE DEV,genes & development,Genes &amp; development,,GENES & DEVELOPMENT,92,72
200,2352-3042_bz_results.csv,2352-3042,genes & diseases,GENES DIS,genes & diseases,Genes &amp; diseases,,Genes & Diseases,93,80
137,1865-3499_bz_results.csv,1865-3499,genes and nutrition,GENES NUTR,genes & nutrition,Genes &amp; nutrition,,Genes and Nutrition,94,86
78,1530-0366_bz_results.csv,1530-0366,genetics in medicine,GENET MED,genetics in medicine,Genetics in medicine : official journal of the American College of Medical Genetics,,GENETICS IN MEDICINE,95,73
40,1474-760X_bz_results.csv,1474-760X,genome biology,GENOME BIOL,genome biology,Genome biology,,GENOME BIOLOGY,96,69
131,1756-994X_bz_results.csv,1756-994X,genome medicine,GENOME MED,genome medicine,Genome medicine,,Genome Medicine,97,74
97,1549-5469_bz_results.csv,1549-5469,genome research,GENOME RES,genome research,Genome research,,GENOME RESEARCH,98,77
4,1089-8646_bz_results.csv,1089-8646,genomics,GENOMICS,genomics,Genomics,,GENOMICS,99,87
34,1468-201X_bz_results.csv,1468-201X,heart,HEART,heart,Heart (British Cardiac Society),,HEART,100,22
104,1556-3871_bz_results.csv,1556-3871,heart rhythm,HEART RHYTHM,heart rhythm,Heart rhythm,,HEART RHYTHM,101,17
182,2052-7276_bz_results.csv,2052-7276,horticulture research,HORTIC RES-ENGLAND,horticulture research,Horticulture research,,Horticulture Research,102,79
107,1557-7422_bz_results.csv,1557-7422,human gene therapy,HUM GENE THER,human gene therapy,Human gene therapy,,HUMAN GENE THERAPY,103,90
29,1460-2083_bz_results.csv,1460-2083,human molecular genetics,HUM MOL GENET,human molecular genetics,Human molecular genetics,,HUMAN MOLECULAR GENETICS,104,84
10,1097-4180_bz_results.csv,1097-4180,immunity,IMMUNITY,immunity,Immunity,,IMMUNITY,105,95
17,1365-2567_bz_results.csv,1365-2567,immunology,IMMUNOLOGY,immunology,Immunology,,IMMUNOLOGY,106,104
54,1479-5868_bz_results.csv,1479-5868,international journal of behavioral nutrition and physical activity,INT J BEHAV NUTR PHY,international journal of behavioral nutrition & physical activity,The international journal of behavioral nutrition and physical activity,,International Journal of Behavioral Nutrition and Physical Activity,107,164
