JID,Journal Name,JCR_Abbrev,Field,issn,e_issn,issn_fixed,JCR_Rank,IF,Publisher,Publisher_WoS,Policy,Year_policy,checked_last_on,Group,openalex_URL,oa_id,NLM_ISSN,URL,URL2,NLM,FLAG,Policy_location,All_Fields
1,CIRCULATION,CIRCULATION,CARDIAC & CARDIOVASCULAR SYSTEMS,0009-7322,1524-4539,0009-7322,3,30,LIPPINCOTT WILLIAMS & WILKINS,LIPPINCOTT WILLIAMS & WILKINS,1,2019,4/2/2025,1,https://www.ahajournals.org/journal/circ,https://openalex.org/S116251202,https://www.ncbi.nlm.nih.gov/nlmcatalog/147763,https://www.ahajournals.org/journal/circ,,https://www.ncbi.nlm.nih.gov/nlmcatalog/499855,FALSE,https://www.ahajournals.org/figure-guidelines,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
2,JOURNAL OF HEART AND LUNG TRANSPLANTATION,J HEART LUNG TRANSPL,CARDIAC & CARDIOVASCULAR SYSTEMS,1053-2498,1557-3117,1053-2498,13,10.2,ELSEVIER SCIENCE INC/ Journal of the American College of Cardiology,ELSEVIER SCIENCE INC,0,,,1,https://www.journals.elsevier.com/the-journal-of-heart-and-lung-transplantation,https://openalex.org/S42270594,https://www.ncbi.nlm.nih.gov/nlmcatalog/9102703,https://www.sciencedirect.com/journal/the-journal-of-heart-and-lung-transplantation,https://www.jhltonline.org/,https://www.ncbi.nlm.nih.gov/nlmcatalog/495352,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY; TRANSPLANTATION
3,EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,CARDIAC & CARDIOVASCULAR SYSTEMS,1388-9842,1879-0844,1388-9842,7,15.5,WILEY,WILEY,0,,,1,https://onlinelibrary.wiley.com/journal/18790844,https://openalex.org/S87609158,https://www.ncbi.nlm.nih.gov/nlmcatalog/100887595,https://onlinelibrary.wiley.com/journal/18790844,https://academic.oup.com/eurjhf,https://www.ncbi.nlm.nih.gov/nlmcatalog/101669191,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS
4,CIRCULATION RESEARCH,CIRC RES,CARDIAC & CARDIOVASCULAR SYSTEMS,0009-7330,1524-4571,0009-7330,5,29.7,LIPPINCOTT WILLIAMS & WILKINS,LIPPINCOTT WILLIAMS & WILKINS,1,2019,4/2/2025,2,https://www.ahajournals.org/journal/res,https://openalex.org/S10652568,https://www.ncbi.nlm.nih.gov/nlmcatalog/0047103,https://www.ahajournals.org/journal/res,https://www.ncbi.nlm.nih.gov/nlmcatalog/47103,https://www.ncbi.nlm.nih.gov/nlmcatalog/8705052,FALSE,https://www.ahajournals.org/res/author-instructions,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; HEMATOLOGY
5,BASIC RESEARCH IN CARDIOLOGY,BASIC RES CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,0300-8428,1435-1803,0300-8428,6,29.7,SPRINGER HEIDELBERG,SPRINGER HEIDELBERG,0,,,2,https://link.springer.com/journal/395,https://openalex.org/S133907260,https://www.ncbi.nlm.nih.gov/nlmcatalog/360342,https://link.springer.com/journal/395,https://www.springermedicine.com/basic-research-in-cardiology/20428892,https://www.ncbi.nlm.nih.gov/nlmcatalog/9312361,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS
6,European Journal of Preventive Cardiology,EUR J PREV CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,2047-4873,2047-4881,2047-4873,18,7.8,OXFORD UNIV PRESS,OXFORD UNIV PRESS,0,,,2,https://academic.oup.com/eurjpc,https://openalex.org/S201064403,https://www.ncbi.nlm.nih.gov/nlmcatalog/101564430,https://academic.oup.com/eurjpc/pages/about,https://www.escardio.org/publications/journals/european-journal-preventive-cardiology/,https://www.ncbi.nlm.nih.gov/nlmcatalog/101564430,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS
7,Circulation-Cardiovascular Imaging,CIRC-CARDIOVASC IMAG,CARDIAC & CARDIOVASCULAR SYSTEMS,1941-9651,1942-0080,1941-9651,19,7.8,OXFORD UNIV PRESS,LIPPINCOTT WILLIAMS & WILKINS,1,2019,4/2/2025,3,https://www.ahajournals.org/journal/circimaging,https://openalex.org/S110626636,https://www.ncbi.nlm.nih.gov/nlmcatalog/101479935,https://www.ahajournals.org/journal/circimaging,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101479935,TRUE,https://www.ahajournals.org/figure-guidelines,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
8,Journal of Cardiovascular Computed Tomography,J CARDIOVASC COMPUT,CARDIAC & CARDIOVASCULAR SYSTEMS,1934-5925,1934-5925,1934-5925,52,4.3,ELSEVIER SCIENCE INC,ELSEVIER SCIENCE INC,0,,,3,https://www.journals.elsevier.com/journal-of-cardiovascular-computed-tomography,https://openalex.org/S331060,https://www.ncbi.nlm.nih.gov/nlmcatalog/101308347,https://www.sciencedirect.com/journal/journal-of-cardiovascular-computed-tomography,https://www.journalofcardiovascularct.com/,https://www.ncbi.nlm.nih.gov/nlmcatalog/101308347,TRUE,,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
9,INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,INT J CARDIOVAS IMAG,CARDIAC & CARDIOVASCULAR SYSTEMS,1569-5794,1573-0743,1569-5794,91,2.4,SPRINGER,SPRINGER,0,,,3,https://link.springer.com/journal/10554,https://openalex.org/S43043541,https://www.ncbi.nlm.nih.gov/nlmcatalog/8600426,https://link.springer.com/journal/10554,https://www.springermedicine.com/the-international-journal-of-cardiovascular-imaging/20514992,https://www.ncbi.nlm.nih.gov/nlmcatalog/100969716,FALSE,,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
10,Circulation-Arrhythmia and Electrophysiology,CIRC-ARRHYTHMIA ELEC,CARDIAC & CARDIOVASCULAR SYSTEMS,1941-3149,1941-3084,1941-3149,23,6.6,LIPPINCOTT WILLIAMS & WILKINS,LIPPINCOTT WILLIAMS & WILKINS,1,2019,4/2/2025,4,https://www.ahajournals.org/journal/circep,https://openalex.org/S28979613,https://www.ncbi.nlm.nih.gov/nlmcatalog/101474365,https://www.ahajournals.org/journal/circep,https://www.ncbi.nlm.nih.gov/nlmcatalog?sort=date&term=%22Circ+Arrhythm+Electrophysiol%22%5BTitle+Abbreviation%5D,https://www.ncbi.nlm.nih.gov/nlmcatalog/101474365,TRUE,https://www.ahajournals.org/figure-guidelines,CARDIAC & CARDIOVASCULAR SYSTEMS
11,EUROPACE,EUROPACE,CARDIAC & CARDIOVASCULAR SYSTEMS,1099-5129,1532-2092,1099-5129,40,5.2,OXFORD UNIV PRESS,OXFORD UNIV PRESS,0,,,4,http://europace.oxfordjournals.org/,https://openalex.org/S46732370,https://www.ncbi.nlm.nih.gov/nlmcatalog/100883649,https://academic.oup.com/europace,https://www.escardio.org/publications/journals/ep-europace/,https://www.ncbi.nlm.nih.gov/nlmcatalog/101134447,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS
12,JOURNAL OF CARDIAC FAILURE,J CARD FAIL,CARDIAC & CARDIOVASCULAR SYSTEMS,1071-9164,1532-8414,1071-9164,34,5.7,CHURCHILL LIVINGSTONE INC MEDICAL PUBLISHERS,CHURCHILL LIVINGSTONE INC MEDICAL PUBLISHERS,0,,,4,https://www.journals.elsevier.com/journal-of-cardiac-failure,https://openalex.org/S67869649,https://www.ncbi.nlm.nih.gov/nlmcatalog/9442138,https://www.sciencedirect.com/journal/journal-of-cardiac-failure,https://onlinejcf.com/,https://www.ncbi.nlm.nih.gov/nlmcatalog/9442138,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS
13,Circulation-Cardiovascular Interventions,CIRC-CARDIOVASC INTE,CARDIAC & CARDIOVASCULAR SYSTEMS,1941-7640,1941-7632,1941-7640,24,6.5,LIPPINCOTT WILLIAMS & WILKINS,LIPPINCOTT WILLIAMS & WILKINS,1,2019,4/2/2025,5,https://www.ahajournals.org/journal/circinterventions,https://openalex.org/S177226689,https://www.ncbi.nlm.nih.gov/nlmcatalog/101499602,http://circinterventions.ahajournals.org/,https://www.ncbi.nlm.nih.gov/nlmcatalog/101499602,https://www.ncbi.nlm.nih.gov/nlmcatalog/101499602,TRUE,https://www.ahajournals.org/figure-guidelines,CARDIAC & CARDIOVASCULAR SYSTEMS
14,Frontiers in Cardiovascular Medicine,FRONT CARDIOVASC MED,CARDIAC & CARDIOVASCULAR SYSTEMS,2297-055X,2297-055X,2297-055X,30,6.1,FRONTIERS MEDIA SA,FRONTIERS MEDIA SA,0,,,5,http://www.frontiersin.org/Cardiovascular_Medicine,https://openalex.org/S2595413687,https://www.ncbi.nlm.nih.gov/nlmcatalog/101653388,http://www.frontiersin.org/Cardiovascular_Medicine,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101653388,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS
15,EuroIntervention,EUROINTERVENTION,CARDIAC & CARDIOVASCULAR SYSTEMS,1774-024X,1969-6213,1774-024X,25,6.5,EUROPA EDITION,EUROPA EDITION,0,,,5,https://www.pcronline.com/eurointervention,https://openalex.org/S104576203,https://www.ncbi.nlm.nih.gov/nlmcatalog/101251040,https://eurointervention.pcronline.com/auth-by-ip/,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101251040,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS
16,JACC-Clinical Electrophysiology,JACC-CLIN ELECTROPHY,CARDIAC & CARDIOVASCULAR SYSTEMS,2405-500X,2405-5018,2405-500X,26,6.4,ELSEVIER,ELSEVIER,1,2020,4/2/2025,6,https://www.journals.elsevier.com/jacc-clinical-electrophysiology,https://openalex.org/S2898168182,https://www.ncbi.nlm.nih.gov/nlmcatalog/101656995,http://www.sciencedirect.com/science/journal/2405500X,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101656995,TRUE,https://www.sciencedirect.com/journal/jacc-clinical-electrophysiology/publish/guide-for-authors,CARDIAC & CARDIOVASCULAR SYSTEMS
17,HEART RHYTHM,HEART RHYTHM,CARDIAC & CARDIOVASCULAR SYSTEMS,1547-5271,1556-3871,1547-5271,27,6.3,ELSEVIER SCIENCE INC,ELSEVIER SCIENCE INC,0,,,6,https://www.journals.elsevier.com/heart-rhythm,https://openalex.org/S163651451,https://www.ncbi.nlm.nih.gov/nlmcatalog/101200317,http://www.sciencedirect.com/science/journal/15475271,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101200317,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS
18,JOURNAL OF CARDIOVASCULAR ELECTROPHYSIOLOGY,J CARDIOVASC ELECTR,CARDIAC & CARDIOVASCULAR SYSTEMS,1045-3873,1540-8167,1045-3873,79,2.871,WILEY,WILEY,0,,,6,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-8167,https://openalex.org/S143832381,https://www.ncbi.nlm.nih.gov/nlmcatalog/9010756,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-8167,,https://www.ncbi.nlm.nih.gov/nlmcatalog/9010756,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS
19,JACC: CardioOncology,JACC-CARDIOONCOL,CARDIAC & CARDIOVASCULAR SYSTEMS,2666-0873,2666-0873,2666-0873,28,6.3,ELSEVIER,ELSEVIER,1,2021,4/2/2025,7,https://www.journals.elsevier.com/jacc-cardiooncology,https://openalex.org/S4210214127,https://www.ncbi.nlm.nih.gov/nlmcatalog/101761697,https://www.sciencedirect.com/journal/jacc-cardiooncology,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101761697,TRUE,https://www.sciencedirect.com/journal/jacc-cardiooncology/publish/guide-for-authors,CARDIAC & CARDIOVASCULAR SYSTEMS; ONCOLOGY
20,Journal of Cardiovascular Development and Disease,J CARDIOVASC DEV DIS,CARDIAC & CARDIOVASCULAR SYSTEMS,N/A,2308-3425,2308-3425,59,3.9,MDPI,MDPI,0,,,7,http://www.mdpi.com/journal/jcdd,https://openalex.org/S2738607712,https://www.ncbi.nlm.nih.gov/nlmcatalog/101651414,http://www.mdpi.com/journal/jcdd,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101651414,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS
21,JOURNAL OF NUCLEAR CARDIOLOGY,J NUCL CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,1071-3581,1532-6551,1071-3581,32,6,SPRINGER,ELSEVIER SCIENCE INC,0,,,7,http://www.springer.com/medicine/cardiology/journal/12350,https://openalex.org/S40505786,https://www.ncbi.nlm.nih.gov/nlmcatalog/9423534,https://link.springer.com/journal/12350,https://www.sciencedirect.com/journal/journal-of-nuclear-cardiology,https://www.ncbi.nlm.nih.gov/nlmcatalog/9423534,TRUE,,"CARDIAC & CARDIOVASCULAR SYSTEMS; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
22,HEART,HEART,CARDIAC & CARDIOVASCULAR SYSTEMS,1355-6037,1468-201X,1355-6037,31,6,BMJ PUBLISHING GROUP,BMJ PUBLISHING GROUP,1,2014,4/2/2025,8,http://heart.bmj.com/,https://openalex.org/S191565391,https://www.ncbi.nlm.nih.gov/nlmcatalog/9602087,http://heart.bmj.com/,,https://www.ncbi.nlm.nih.gov/nlmcatalog/497231,FALSE,https://heart.bmj.com/pages/authors#submission_guidelines,CARDIAC & CARDIOVASCULAR SYSTEMS
23,European Journal of Cardiovascular Nursing,EUR J CARDIOVASC NUR,CARDIAC & CARDIOVASCULAR SYSTEMS,1474-5151,1873-1953,1474-5151,60,3.9,OXFORD UNIV PRESS,OXFORD UNIV PRESS,0,,,8,https://academic.oup.com/eurjcn,https://openalex.org/S178548257,https://www.ncbi.nlm.nih.gov/nlmcatalog/101128793,https://journals.sagepub.com/home/cnu,https://academic.oup.com/eurjcn,https://www.ncbi.nlm.nih.gov/nlmcatalog/101128793,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS; NURSING
24,Clinical Research in Cardiology,CLIN RES CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,1861-0684,1861-0692,1861-0684,36,5.5,SPRINGER HEIDELBERG,SPRINGER HEIDELBERG,0,,,8,https://www.springer.com/journal/392,https://openalex.org/S81098524,https://www.ncbi.nlm.nih.gov/nlmcatalog/101264123,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101538987,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS
25,Circulation-Cardiovascular Quality and Outcomes,CIRC-CARDIOVASC QUAL,CARDIAC & CARDIOVASCULAR SYSTEMS,1941-7705,1941-7713,1941-7705,33,5.9,LIPPINCOTT WILLIAMS & WILKINS,LIPPINCOTT WILLIAMS & WILKINS,1,2019,4/2/2025,9,https://www.ahajournals.org/journal/circoutcomes,https://openalex.org/S52278559,https://www.ncbi.nlm.nih.gov/nlmcatalog/101489148,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/499855,FALSE,https://www.ahajournals.org/figure-guidelines,CARDIAC & CARDIOVASCULAR SYSTEMS
26,ANNALS OF THORACIC SURGERY,ANN THORAC SURG,CARDIAC & CARDIOVASCULAR SYSTEMS,0003-4975,1552-6259,0003-4975,51,4.3,ELSEVIER SCIENCE INC,ELSEVIER SCIENCE INC,0,,,9,http://www.elsevier.com/wps/find/journaldescription.cws_home/505747/description#description,https://openalex.org/S144860794,https://www.ncbi.nlm.nih.gov/nlmcatalog/20795,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/384617,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS; RESPIRATORY SYSTEM; SURGERY
27,Journal of Geriatric Cardiology,J GERIATR CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,1671-5411,N/A,1671-5411,65,3.3,SCIENCE PRESS,TSINGHUA UNIV PRESS,0,,,9,http://www.jgc301.com/ch/index.aspx,https://openalex.org/S2481472796,https://www.ncbi.nlm.nih.gov/nlmcatalog/101237881,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101237881,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS; GERIATRICS & GERONTOLOGY
28,Journal of the American Heart Association,J AM HEART ASSOC,CARDIAC & CARDIOVASCULAR SYSTEMS,2047-9980,2047-9980,2047-9980,35,5.5,WILEY,WILEY,1,2019,4/2/2025,10,https://www.ahajournals.org/journal/jaha,https://openalex.org/S2489920150,https://www.ncbi.nlm.nih.gov/nlmcatalog/101580524,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/101580524,TRUE,https://www.ahajournals.org/figure-guidelines,CARDIAC & CARDIOVASCULAR SYSTEMS
29,CANADIAN JOURNAL OF CARDIOLOGY,CAN J CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,0828-282X,1916-7075,0828-282X,38,5.4,ELSEVIER SCIENCE INC,ELSEVIER SCIENCE INC,0,,,10,https://www.journals.elsevier.com/canadian-journal-of-cardiology,https://openalex.org/S126162762,https://www.ncbi.nlm.nih.gov/nlmcatalog/8510280,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/387025,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS
30,American Journal of Cardiovascular Drugs,AM J CARDIOVASC DRUG,CARDIAC & CARDIOVASCULAR SYSTEMS,1175-3277,1179-187X,1175-3277,62,3.6,ADIS INT LTD,ADIS INT LTD,0,,,10,https://link.springer.com/journal/40256,https://openalex.org/S151621711,https://www.ncbi.nlm.nih.gov/nlmcatalog/100967755,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/100967755,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS; PHARMACOLOGY & PHARMACY
31,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,J MOL CELL CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,0022-2828,1095-8584,0022-2828,44,5,ELSEVIER SCI LTD,ELSEVIER SCI LTD,1,2021,4/2/2025,11,https://www.journals.elsevier.com/journal-of-molecular-and-cellular-cardiology,https://openalex.org/S111163638,https://www.ncbi.nlm.nih.gov/nlmcatalog/262322,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/264468,FALSE,https://www.sciencedirect.com/journal/journal-of-molecular-and-cellular-cardiology/publish/guide-for-authors,CARDIAC & CARDIOVASCULAR SYSTEMS; CELL BIOLOGY
32,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,NUTR METAB CARDIOVAS,CARDIAC & CARDIOVASCULAR SYSTEMS,0939-4753,1590-3729,0939-4753,53,4.2,ELSEVIER SCI LTD,ELSEVIER SCI LTD,0,,,11,https://www.journals.elsevier.com/nutrition-metabolism-and-cardiovascular-diseases,https://openalex.org/S4455515,https://www.ncbi.nlm.nih.gov/nlmcatalog/9111474,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/9111474,TRUE,,CARDIAC & CARDIOVASCULAR SYSTEMS; ENDOCRINOLOGY & METABOLISM; NUTRITION & DIETETICS
33,ATHEROSCLEROSIS,ATHEROSCLEROSIS,CARDIAC & CARDIOVASCULAR SYSTEMS,0021-9150,1879-1484,0021-9150,43,5.2,ELSEVIER IRELAND LTD,ELSEVIER IRELAND LTD,0,,,11,http://www.elsevier.com/wps/find/journaldescription.cws_home/522790/description,https://openalex.org/S206830620,https://www.ncbi.nlm.nih.gov/nlmcatalog/242543,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/270972,FALSE,,CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE
34,BRAIN,BRAIN,CLINICAL NEUROLOGY,0006-8950,1460-2156,0006-8950,6,13.5,OXFORD UNIV PRESS,OXFORD UNIV PRESS,1,2013,4/2/2025,12,http://brain.oxfordjournals.org/,https://openalex.org/S118357697,https://www.ncbi.nlm.nih.gov/nlmcatalog/372537,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/499595,FALSE,https://academic.oup.com/brain/pages/General_Instructions,CLINICAL NEUROLOGY; NEUROSCIENCES
35,MOVEMENT DISORDERS,MOVEMENT DISORD,CLINICAL NEUROLOGY,0885-3185,1531-8257,0885-3185,10,10.3,WILEY,WILEY,0,,,12,http://www3.interscience.wiley.com/journal/76507419/home,https://openalex.org/S163027424,https://www.ncbi.nlm.nih.gov/nlmcatalog/8610688,,,https://www.ncbi.nlm.nih.gov/nlmcatalog/500078,FALSE,,CLINICAL NEUROLOGY
