Name,eISSN,Journal Name,JCR_Abbrev
0742-3098_bz_results.csv,0742-3098,journal of pineal research,J PINEAL RES
0867-5910_bz_results.csv,0867-5910,journal of physiology and pharmacology,J PHYSIOL PHARMACOL
1021-9498_bz_results.csv,1021-9498,journal of food and drug analysis,J FOOD DRUG ANAL
1089-8646_bz_results.csv,1089-8646,genomics,GENOMICS
1095-8584_bz_results.csv,1095-8584,journal of molecular and cellular cardiology,J MOL CELL CARDIOL
1095-9157_bz_results.csv,1095-9157,journal of autoimmunity,J AUTOIMMUN
1095-9939_bz_results.csv,1095-9939,pesticide biochemistry and physiology,PESTIC BIOCHEM PHYS
1097-0142_bz_results.csv,1097-0142,cancer,CANCER-AM CANCER SOC
1097-0215_bz_results.csv,1097-0215,international journal of cancer,INT J CANCER
1097-4180_bz_results.csv,1097-4180,immunity,IMMUNITY
1097-4199_bz_results.csv,1097-4199,neuron,NEURON
1097-6825_bz_results.csv,1097-6825,journal of allergy and clinical immunology,J ALLERGY CLIN IMMUN
1179-187X_bz_results.csv,1179-187X,american journal of cardiovascular drugs,AM J CARDIOVASC DRUG
1349-7006_bz_results.csv,1349-7006,cancer science,CANCER SCI
1361-6579_bz_results.csv,1361-6579,physiological measurement,PHYSIOL MEAS
1365-2036_bz_results.csv,1365-2036,alimentary pharmacology & therapeutics,ALIMENT PHARM THER
1365-2567_bz_results.csv,1365-2567,immunology,IMMUNOLOGY
1365-2990_bz_results.csv,1365-2990,neuropathology and applied neurobiology,NEUROPATH APPL NEURO
1423-0143_bz_results.csv,1423-0143,kidney & blood pressure research,KIDNEY BLOOD PRESS R
1432-0428_bz_results.csv,1432-0428,diabetologia,DIABETOLOGIA
1432-0533_bz_results.csv,1432-0533,acta neuropathologica,ACTA NEUROPATHOL
1432-0851_bz_results.csv,1432-0851,cancer immunology immunotherapy,CANCER IMMUNOL IMMUN
1432-2013_bz_results.csv,1432-2013,pflugers archiv-european journal of physiology,PFLUG ARCH EUR J PHY
1432-2242_bz_results.csv,1432-2242,theoretical and applied genetics,THEOR APPL GENET
1435-1803_bz_results.csv,1435-1803,basic research in cardiology,BASIC RES CARDIOL
1436-3305_bz_results.csv,1436-3305,gastric cancer,GASTRIC CANCER
1439-6327_bz_results.csv,1439-6327,european journal of applied physiology,EUR J APPL PHYSIOL
1440-1681_bz_results.csv,1440-1681,clinical and experimental pharmacology and physiology,CLIN EXP PHARMACOL P
1460-2083_bz_results.csv,1460-2083,human molecular genetics,HUM MOL GENET
1460-2105_bz_results.csv,1460-2105,jnci-journal of the national cancer institute,JNCI-J NATL CANCER I
1460-2156_bz_results.csv,1460-2156,brain,BRAIN
1462-0332_bz_results.csv,1462-0332,rheumatology,RHEUMATOLOGY
1463-1326_bz_results.csv,1463-1326,diabetes obesity & metabolism,DIABETES OBES METAB
1468-201X_bz_results.csv,1468-201X,heart,HEART
1468-6244_bz_results.csv,1468-6244,journal of medical genetics,J MED GENET
1469-445X_bz_results.csv,1469-445X,experimental physiology,EXP PHYSIOL
1469-7793_bz_results.csv,1469-7793,journal of physiology-london,J PHYSIOL-LONDON
1469-8986_bz_results.csv,1469-8986,psychophysiology,PSYCHOPHYSIOLOGY
1473-0790_bz_results.csv,1473-0790,aging male,AGING MALE
1474-760X_bz_results.csv,1474-760X,genome biology,GENOME BIOL
1475-097X_bz_results.csv,1475-097X,clinical physiology and functional imaging,CLIN PHYSIOL FUNCT I
1475-2840_bz_results.csv,1475-2840,cardiovascular diabetology,CARDIOVASC DIABETOL
1476-4598_bz_results.csv,1476-4598,molecular cancer,MOL CANCER
1476-5365_bz_results.csv,1476-5365,bone marrow transplantation,BONE MARROW TRANSPL
1476-5381_bz_results.csv,1476-5381,british journal of pharmacology,BRIT J PHARMACOL
1476-5462_bz_results.csv,1476-5462,gene therapy,GENE THER
1476-5497_bz_results.csv,1476-5497,international journal of obesity,INT J OBESITY
1476-5500_bz_results.csv,1476-5500,cancer gene therapy,CANCER GENE THER
1476-5551_bz_results.csv,1476-5551,leukemia,LEUKEMIA
1476-5578_bz_results.csv,1476-5578,molecular psychiatry,MOL PSYCHIATR
1476-5594_bz_results.csv,1476-5594,oncogene,ONCOGENE
1476-5608_bz_results.csv,1476-5608,prostate cancer and prostatic diseases,PROSTATE CANCER P D
1478-6362_bz_results.csv,1478-6362,arthritis research & therapy,ARTHRITIS RES THER
1479-5868_bz_results.csv,1479-5868,international journal of behavioral nutrition and physical activity,INT J BEHAV NUTR PHY
1479-6813_bz_results.csv,1479-6813,journal of molecular endocrinology,J MOL ENDOCRINOL
1479-683X_bz_results.csv,1479-683X,european journal of endocrinology,EUR J ENDOCRINOL
1499-2752_bz_results.csv,1499-2752,journal of rheumatology,J RHEUMATOL
1502-7732_bz_results.csv,1502-7732,scandinavian journal of rheumatology,SCAND J RHEUMATOL
1520-7560_bz_results.csv,1520-7560,diabetes-metabolism research and reviews,DIABETES-METAB RES
1522-1466_bz_results.csv,1522-1466,american journal of physiology-renal physiology,AM J PHYSIOL-RENAL
1522-1490_bz_results.csv,1522-1490,american journal of physiology-regulatory integrative and comparative physiology,AM J PHYSIOL-REG I
1522-1504_bz_results.csv,1522-1504,american journal of physiology-lung cellular and molecular physiology,AM J PHYSIOL-LUNG C
1522-1539_bz_results.csv,1522-1539,american journal of physiology-heart and circulatory physiology,AM J PHYSIOL-HEART C
1522-1547_bz_results.csv,1522-1547,american journal of physiology-gastrointestinal and liver physiology,AM J PHYSIOL-GASTR L
1522-1555_bz_results.csv,1522-1555,american journal of physiology-endocrinology and metabolism,AM J PHYSIOL-ENDOC M
1522-1563_bz_results.csv,1522-1563,american journal of physiology-cell physiology,AM J PHYSIOL-CELL PH
1522-1598_bz_results.csv,1522-1598,journal of neurophysiology,J NEUROPHYSIOL
1522-1601_bz_results.csv,1522-1601,journal of applied physiology,J APPL PHYSIOL
1523-1755_bz_results.csv,1523-1755,kidney international,KIDNEY INT
1523-4681_bz_results.csv,1523-4681,journal of bone and mineral research,J BONE MINER RES
1523-5866_bz_results.csv,1523-5866,neuro-oncology,NEURO-ONCOLOGY
1524-4539_bz_results.csv,1524-4539,circulation,CIRCULATION
1524-4571_bz_results.csv,1524-4571,circulation research,CIRC RES
1524-4628_bz_results.csv,1524-4628,stroke,STROKE
1525-0024_bz_results.csv,1525-0024,molecular therapy,MOL THER
1525-6073_bz_results.csv,1525-6073,chronobiology international,CHRONOBIOL INT
1529-2916_bz_results.csv,1529-2916,nature immunology,NAT IMMUNOL
1530-0366_bz_results.csv,1530-0366,genetics in medicine,GENET MED
1531-2267_bz_results.csv,1531-2267,physiological genomics,PHYSIOL GENOMICS
1531-4332_bz_results.csv,1531-4332,comparative biochemistry and physiology a-molecular & integrative physiology,COMP BIOCHEM PHYS A
1531-8249_bz_results.csv,1531-8249,annals of neurology,ANN NEUROL
1531-8257_bz_results.csv,1531-8257,movement disorders,MOVEMENT DISORD
1532-1827_bz_results.csv,1532-1827,british journal of cancer,BRIT J CANCER
1532-2092_bz_results.csv,1532-2092,europace,EUROPACE
1532-6551_bz_results.csv,1532-6551,journal of nuclear cardiology,J NUCL CARDIOL
1532-8414_bz_results.csv,1532-8414,journal of cardiac failure,J CARD FAIL
1532-8600_bz_results.csv,1532-8600,metabolism-clinical and experimental,METABOLISM
1537-1719_bz_results.csv,1537-1719,molecular biology and evolution,MOL BIOL EVOL
1537-6591_bz_results.csv,1537-6591,clinical infectious diseases,CLIN INFECT DIS
1537-6605_bz_results.csv,1537-6605,american journal of human genetics,AM J HUM GENET
1538-7445_bz_results.csv,1538-7445,cancer research,CANCER RES
1540-7748_bz_results.csv,1540-7748,general physiology,J GEN PHYSIOL
1540-8167_bz_results.csv,1540-8167,journal of cardiovascular electrophysiology,J CARDIOVASC ELECTR
1540-9538_bz_results.csv,1540-9538,journal of experimental medicine,J EXP MED
1546-1718_bz_results.csv,1546-1718,nature genetics,NAT GENET
1546-1726_bz_results.csv,1546-1726,nature neuroscience,NAT NEUROSCI
1549-5469_bz_results.csv,1549-5469,genome research,GENOME RES
1549-5477_bz_results.csv,1549-5477,genes & development,GENE DEV
1550-6606_bz_results.csv,1550-6606,journal of immunology,J IMMUNOL
1552-4531_bz_results.csv,1552-4531,journal of biological rhythms,J BIOL RHYTHM
1552-6259_bz_results.csv,1552-6259,annals of thoracic surgery,ANN THORAC SURG
1553-7404_bz_results.csv,1553-7404,plos genetics,PLOS GENET
1556-1380_bz_results.csv,1556-1380,journal of thoracic oncology,J THORAC ONCOL
1556-3871_bz_results.csv,1556-3871,heart rhythm,HEART RHYTHM
1557-3117_bz_results.csv,1557-3117,journal of heart and lung transplantation,J HEART LUNG TRANSPL
1557-3265_bz_results.csv,1557-3265,clinical cancer research,CLIN CANCER RES
1557-7422_bz_results.csv,1557-7422,human gene therapy,HUM GENE THER
1557-7716_bz_results.csv,1557-7716,antioxidants & redox signaling,ANTIOXID REDOX SIGN
1557-8585_bz_results.csv,1557-8585,lymphatic research and biology,LYMPHAT RES BIOL
1557-8593_bz_results.csv,1557-8593,diabetes technology & therapeutics,DIABETES TECHNOL THE
1557-9077_bz_results.csv,1557-9077,thyroid,THYROID
1559-7016_bz_results.csv,1559-7016,journal of cerebral blood flow and metabolism,J CEREBR BLOOD F MET
1569-5794_bz_results.csv,1569-5794,international journal of cardiovascular imaging,INT J CARDIOVAS IMAG
1569-8041_bz_results.csv,1569-8041,annals of oncology,ANN ONCOL
1573-2592_bz_results.csv,1573-2592,journal of clinical immunology,J CLIN IMMUNOL
1573-6849_bz_results.csv,1573-6849,chromosome research,CHROMOSOME RES
1573-7039_bz_results.csv,1573-7039,journal of mammary gland biology and neoplasia,J MAMMARY GLAND BIOL
1590-3729_bz_results.csv,1590-3729,nutrition metabolism and cardiovascular diseases,NUTR METAB CARDIOVAS
1662-8128_bz_results.csv,1662-8128,journal of innate immunity,J INNATE IMMUN
1664-042X_bz_results.csv,1664-042X,frontiers in physiology,FRONT PHYSIOL
1664-2392_bz_results.csv,1664-2392,frontiers in endocrinology,FRONT ENDOCRINOL
1664-3224_bz_results.csv,1664-3224,frontiers in immunology,FRONT IMMUNOL
1664-5553_bz_results.csv,1664-5553,liver cancer,LIVER CANCER
1671-5411_bz_results.csv,1671-5411,journal of geriatric cardiology,J GERIATR CARDIOL
1742-2094_bz_results.csv,1742-2094,journal of neuroinflammation,J NEUROINFLAMM
1744-4160_bz_results.csv,1744-4160,archives of physiology and biochemistry,ARCH PHYSIOL BIOCHEM
1745-7254_bz_results.csv,1745-7254,acta pharmacologica sinica,ACTA PHARMACOL SIN
1748-1716_bz_results.csv,1748-1716,acta physiologica,ACTA PHYSIOL
1750-1326_bz_results.csv,1750-1326,molecular neurodegeneration,MOL NEURODEGENER
1756-8722_bz_results.csv,1756-8722,journal of hematology & oncology,J HEMATOL ONCOL
1756-994X_bz_results.csv,1756-994X,genome medicine,GENOME MED
1756-9966_bz_results.csv,1756-9966,journal of experimental & clinical cancer research,J EXP CLIN CANC RES
1758-8359_bz_results.csv,1758-8359,therapeutic advances in medical oncology,THER ADV MED ONCOL
1769-7131_bz_results.csv,1769-7131,neurophysiologie clinique-clinical neurophysiology,NEUROPHYSIOL CLIN
1802-9973_bz_results.csv,1802-9973,physiological research,PHYSIOL RES
1861-0692_bz_results.csv,1861-0692,clinical research in cardiology,CLIN RES CARDIOL
1865-3499_bz_results.csv,1865-3499,genes and nutrition,GENES NUTR
1868-7083_bz_results.csv,1868-7083,clinical epigenetics,CLIN EPIGENETICS
1872-7697_bz_results.csv,1872-7697,international journal of psychophysiology,INT J PSYCHOPHYSIOL
1872-8081_bz_results.csv,1872-8081,biofactors,BIOFACTORS
1872-8227_bz_results.csv,1872-8227,diabetes research and clinical practice,DIABETES RES CLIN PR
1873-1953_bz_results.csv,1873-1953,european journal of cardiovascular nursing,EUR J CARDIOVASC NUR
1873-4596_bz_results.csv,1873-4596,free radical biology and medicine,FREE RADICAL BIO MED
1873-4995_bz_results.csv,1873-4995,journal of controlled release,J CONTROL RELEASE
1873-5711_bz_results.csv,1873-5711,journal of electromyography and kinesiology,J ELECTROMYOGR KINES
1873-7560_bz_results.csv,1873-7560,european urology,EUR UROL
1877-8755_bz_results.csv,1877-8755,journal of physiology and biochemistry,J PHYSIOL BIOCHEM
1878-3686_bz_results.csv,1878-3686,cancer cell,CANCER CELL
1878-7479_bz_results.csv,1878-7479,neurotherapeutics,NEUROTHERAPEUTICS
1879-0844_bz_results.csv,1879-0844,european journal of heart failure,EUR J HEART FAIL
1879-0852_bz_results.csv,1879-0852,european journal of cancer,EUR J CANCER
1879-1484_bz_results.csv,1879-1484,atherosclerosis,ATHEROSCLEROSIS
1879-355X_bz_results.csv,1879-355X,international journal of radiation oncology biology physics,INT J RADIAT ONCOL
1880-6562_bz_results.csv,1880-6562,journal of physiological sciences,J PHYSIOL SCI
1880-6805_bz_results.csv,1880-6805,journal of physiological anthropology,J PHYSIOL ANTHROPOL
1916-7075_bz_results.csv,1916-7075,canadian journal of cardiology,CAN J CARDIOL
1930-739X_bz_results.csv,1930-739X,obesity,OBESITY
1932-7420_bz_results.csv,1932-7420,cell metabolism,CELL METAB
1934-5925_bz_results.csv,1934-5925,journal of cardiovascular computed tomography,J CARDIOVASC COMPUT
1935-3456_bz_results.csv,1935-3456,mucosal immunology,MUCOSAL IMMUNOL
1935-5548_bz_results.csv,1935-5548,diabetes care,DIABETES CARE
1935-5548_bz_results.csv,1935-5548,journal of pineal research,J PINEAL RES
1939-327X_bz_results.csv,1939-327X,diabetes,DIABETES
1941-3084_bz_results.csv,1941-3084,circulation-arrhythmia and electrophysiology,CIRC-ARRHYTHMIA ELEC
1941-7632_bz_results.csv,1941-7632,circulation-cardiovascular interventions,CIRC-CARDIOVASC INTE
1941-7713_bz_results.csv,1941-7713,circulation-cardiovascular quality and outcomes,CIRC-CARDIOVASC QUAL
1942-0080_bz_results.csv,1942-0080,circulation-cardiovascular imaging,CIRC-CARDIOVASC IMAG
1945-7170_bz_results.csv,1945-7170,endocrinology,ENDOCRINOLOGY
1969-6213_bz_results.csv,1969-6213,eurointervention,EUROINTERVENTION
1999-4923_bz_results.csv,1999-4923,pharmaceutics,PHARMACEUTICS
2001-1326_bz_results.csv,2001-1326,clinical and translational medicine,CLIN TRANSL MED
2040-2392_bz_results.csv,2040-2392,molecular autism,MOL AUTISM
2042-0226_bz_results.csv,2042-0226,cellular & molecular immunology,CELL MOL IMMUNOL
2044-4052_bz_results.csv,2044-4052,nutrition & diabetes,NUTR DIABETES
2044-5385_bz_results.csv,2044-5385,blood cancer journal,BLOOD CANCER J
2046-3758_bz_results.csv,2046-3758,bone & joint research,BONE JOINT RES
2047-4881_bz_results.csv,2047-4881,european journal of preventive cardiology,EUR J PREV CARDIOL
2047-9980_bz_results.csv,2047-9980,journal of the american heart association,J AM HEART ASSOC
2049-4394_bz_results.csv,2049-4394,bone & joint journal,BONE JOINT J
2050-0068_bz_results.csv,2050-0068,clinical & translational immunology,CLIN TRANSL IMMUNOL
2051-1426_bz_results.csv,2051-1426,journal for immunotherapy of cancer,J IMMUNOTHER CANCER
2051-1434_bz_results.csv,2051-1434,conservation physiology,CONSERV PHYSIOL
2052-7276_bz_results.csv,2052-7276,horticulture research,HORTIC RES-ENGLAND
2056-7944_bz_results.csv,2056-7944,npj genomic medicine,NPJ GENOM MED
2057-5858_bz_results.csv,2057-5858,microbial genomics,MICROB GENOMICS
2059-0105_bz_results.csv,2059-0105,npj vaccines,NPJ VACCINES
2150-5608_bz_results.csv,2150-5608,virulence,VIRULENCE
2157-9024_bz_results.csv,2157-9024,oncogenesis,ONCOGENESIS
2159-8290_bz_results.csv,2159-8290,cancer discovery,CANCER DISCOV
2162-402X_bz_results.csv,2162-402X,oncoimmunology,ONCOIMMUNOLOGY
2212-8778_bz_results.csv,2212-8778,molecular metabolism,MOL METAB
2213-2201_bz_results.csv,2213-2201,journal of allergy and clinical immunology-in practice,J ALLER CL IMM-PRACT
2214-031X_bz_results.csv,2214-031X,journal of orthopaedic translation,J ORTHOP TRANSL
2233-6087_bz_results.csv,2233-6087,diabetes & metabolism journal,DIABETES METAB J
2287-4690_bz_results.csv,2287-4690,world journal of mens health,WORLD J MENS HEALTH
2297-055X_bz_results.csv,2297-055X,frontiers in cardiovascular medicine,FRONT CARDIOVASC MED
2308-3425_bz_results.csv,2308-3425,journal of cardiovascular development and disease,J CARDIOVASC DEV DIS
2326-5205_bz_results.csv,2326-5205,arthritis & rheumatology,ARTHRITIS RHEUMATOL
2326-6074_bz_results.csv,2326-6074,cancer immunology research,CANCER IMMUNOL RES
2352-3018_bz_results.csv,2352-3018,lancet hiv,LANCET HIV
2352-3042_bz_results.csv,2352-3042,genes & diseases,GENES DIS
2372-7705_bz_results.csv,2372-7705,molecular therapy-oncolytics,MOL THER ONCOLYTICS
2373-8057_bz_results.csv,2373-8057,npj parkinsons disease,NPJ PARKINSONS DIS
2374-4677_bz_results.csv,2374-4677,npj breast cancer,NPJ BREAST CANCER
2397-3374_bz_results.csv,2397-3374,nature human behaviour,NAT HUM BEHAV
2397-768X_bz_results.csv,2397-768X,npj precision oncology,NPJ PRECIS ONCOL
2405-5018_bz_results.csv,2405-5018,jacc-clinical electrophysiology,JACC-CLIN ELECTROPHY
2522-5812_bz_results.csv,2522-5812,nature metabolism,NAT METAB
2523-3548_bz_results.csv,2523-3548,cancer communications,CANCER COMMUN
2574-8300_bz_results.csv,2574-8300,circulation-genomic and precision medicine,CIRC-GENOM PRECIS ME
2588-9311_bz_results.csv,2588-9311,european urology oncology,EUR UROL ONCOL
2665-9913_bz_results.csv,2665-9913,lancet rheumatology,LANCET RHEUMATOL
2666-0873_bz_results.csv,2666-0873,jacc: cardiooncology,JACC-CARDIOONCOL
2666-6367_bz_results.csv,2666-6367,transplantation and cellular therapy,TRANSPL CELL THER 
